unit_id,centroid_lat,centroid_lon,nearest_library,library_lat,library_lon,distance_km,time_min,method
grid_R000_C033,22.883237238312837,120.35186310579054,關廟區圖書館,22.960055,120.324203,10.6105,14.693333333333332,osrm_driving
grid_R001_C023,22.89184023557852,120.25435552601375,喜樹圖書館,22.940384,120.17836,12.8216,19.178333333333335,osrm_driving
grid_R001_C025,22.89193047259132,120.27384827625932,仁德區圖書館,22.972232,120.253105,14.7538,16.576666666666668,osrm_driving
grid_R001_C026,22.89197469492884,120.28359468798752,仁德區圖書館,22.972232,120.253105,13.0458,14.326666666666666,osrm_driving
grid_R001_C030,22.8921456096805,120.32258057133,關廟區圖書館,22.960055,120.324203,12.1352,14.655,osrm_driving
grid_R001_C031,22.89218684468979,120.33232709964302,關廟區圖書館,22.960055,120.324203,10.7683,13.723333333333333,osrm_driving
grid_R001_C032,22.89222748221631,120.34207365029496,關廟區圖書館,22.960055,120.324203,9.7362,10.585,osrm_driving
grid_R001_C033,22.892267522254528,120.35182022295984,關廟區圖書館,22.960055,120.324203,9.289,10.408333333333331,osrm_driving
grid_R001_C034,22.892306964799015,120.3615668173116,關廟區圖書館,22.960055,120.324203,10.915,15.983333333333333,osrm_driving
grid_R002_C021,22.9007776545493,120.2348122310614,喜樹圖書館,22.940384,120.17836,10.0289,11.095,osrm_driving
grid_R002_C022,22.90082428707248,120.24455918861268,喜樹圖書館,22.940384,120.17836,11.048,14.696666666666664,osrm_driving
grid_R002_C023,22.900870321904357,120.25430617144434,仁德區圖書館,22.972232,120.253105,9.5583,13.96,osrm_driving
grid_R002_C024,22.900915759038696,120.26405317923027,仁德區圖書館,22.972232,120.253105,16.1223,23.508333333333333,osrm_driving
grid_R002_C025,22.90096059846931,120.27380021164446,關廟區圖書館,22.960055,120.324203,10.6183,15.15,osrm_driving
grid_R002_C026,22.90100484019013,120.28354726836072,仁德區圖書館,22.972232,120.253105,16.0073,17.81,osrm_driving
grid_R002_C027,22.90104848419512,120.29329434905304,仁德區圖書館,22.972232,120.253105,10.3743,15.433333333333334,osrm_driving
grid_R002_C028,22.90109153047837,120.30304145339532,關廟區圖書館,22.960055,120.324203,9.2248,17.505,osrm_driving
grid_R002_C029,22.901133979034025,120.3127885810614,關廟區圖書館,22.960055,120.324203,8.5509,14.626666666666669,osrm_driving
grid_R002_C030,22.901175829856324,120.32253573172528,關廟區圖書館,22.960055,120.324203,13.5665,20.8,osrm_driving
grid_R002_C031,22.90121708293957,120.33228290506077,關廟區圖書館,22.960055,120.324203,10.6961,16.573333333333334,osrm_driving
grid_R002_C032,22.901257738278172,120.34203010074178,關廟區圖書館,22.960055,120.324203,9.3641,11.246666666666666,osrm_driving
grid_R002_C033,22.9012977958666,120.35177731844222,關廟區圖書館,22.960055,120.324203,8.259,9.03,osrm_driving
grid_R002_C034,22.901337255699406,120.36152455783598,關廟區圖書館,22.960055,120.324203,8.2956,10.493333333333334,osrm_driving
grid_R002_C035,22.90137611777125,120.37127181859688,關廟區圖書館,22.960055,120.324203,9.3434,14.018333333333334,osrm_driving
