unit_id,centroid_lat,centroid_lon,nearest_library,library_lat,library_lon,distance_km,time_min,method,village_name,district
67000150010,23.129612507691892,120.13175915819292,七股區圖書館,23.140338,120.139167,1.5517,20.683333333333337,osrm_walking,七股里,七股區
67000150022,23.113226891750237,120.0824333534421,七股區圖書館,23.140338,120.139167,8.0588,107.48,osrm_walking,三股里,七股區
67000150017,23.157271031641887,120.11580618447496,七股區圖書館,23.140338,120.139167,4.4594,59.46,osrm_walking,中寮里,七股區
67000150023,23.082965862867265,120.06489605807862,土城圖書館,23.066305,120.126709,11.6804,156.14333333333337,osrm_walking,十份里,七股區
67000150007,23.15320630429295,120.08201697010796,七股區圖書館,23.140338,120.139167,7.0069,93.49333333333334,osrm_walking,塩埕里,七股區
67000150012,23.14420761204032,120.14614977984884,七股區圖書館,23.140338,120.139167,0.9115,12.151666666666667,osrm_walking,大埕里,七股區
67000150002,23.18933376499485,120.13375519799212,將軍區圖書館,23.201284,120.160563,3.8009,50.681666666666665,osrm_walking,大潭里,七股區
67000150001,23.17805259106252,120.13871871452606,將軍區圖書館,23.201284,120.160563,4.3969,58.63,osrm_walking,後港里,七股區
67000150015,23.118272198074013,120.14757007638129,七股區圖書館,23.140338,120.139167,3.3266,44.35166666666667,osrm_walking,樹林里,七股區
67000150021,23.098621561475692,120.1269296418302,土城圖書館,23.066305,120.126709,4.9596,66.49166666666666,osrm_walking,永吉里,七股區
67000150009,23.12064718710274,120.11905664565728,七股區圖書館,23.140338,120.139167,3.5525,47.358333333333334,osrm_walking,溪南里,七股區
67000150011,23.142249975863443,120.12940563034672,七股區圖書館,23.140338,120.139167,1.2197,16.258333333333333,osrm_walking,玉成里,七股區
67000150018,23.10060036101675,120.16614059931722,西港區圖書館,23.123446,120.203326,5.5128,73.67666666666668,osrm_walking,竹橋里,七股區
67000150004,23.15841918200624,120.13664189007336,七股區圖書館,23.140338,120.139167,2.9,38.665,osrm_walking,篤加里,七股區
67000150019,23.10043677307645,120.14219148109083,土城圖書館,23.066305,120.126709,5.7522,77.09333333333333,osrm_walking,義合里,七股區
67000150006,23.178277086403813,120.08687150455478,七股區圖書館,23.140338,120.139167,8.423200000000001,112.375,osrm_walking,西寮里,七股區
67000150005,23.176168342294577,120.11504985982934,七股區圖書館,23.140338,120.139167,6.5223,86.96333333333334,osrm_walking,頂山里,七股區
67000150008,23.13098428502316,120.09559357974702,七股區圖書館,23.140338,120.139167,5.4009,72.01666666666667,osrm_walking,龍山里,七股區
67000080001,23.235315398175473,120.26252427294622,下營區圖書館,23.235261,120.264393,0.2583999999999999,3.48,osrm_walking,下營里,下營區
67000080002,23.224361939710633,120.25773307663265,下營區圖書館,23.235261,120.264393,1.5913,21.253333333333337,osrm_walking,仁里里,下營區
67000080017,23.231270190466603,120.24038166655768,下營區圖書館,23.235261,120.264393,2.8825,38.465,osrm_walking,大吉里,下營區
67000080003,23.240487998595757,120.2557466928517,下營區圖書館,23.235261,120.264393,1.5496,20.763333333333332,osrm_walking,宅內里,下營區
67000080004,23.24471921442985,120.2609710741406,下營區圖書館,23.235261,120.264393,1.3956,18.709999999999997,osrm_walking,後街里,下營區
67000080005,23.234561777002423,120.27420975565892,下營區圖書館,23.235261,120.264393,1.167,15.591666666666669,osrm_walking,新興里,下營區
67000080006,23.228757932964147,120.26623720078965,下營區圖書館,23.235261,120.264393,1.1285,15.046666666666663,osrm_walking,營前里,下營區
67000080018,23.250526745754716,120.27128469342604,下營區圖書館,23.235261,120.264393,2.1277,28.505,osrm_walking,紅甲里,下營區
67000080016,23.21791727449621,120.28277418327156,下營區圖書館,23.235261,120.264393,3.4743000000000004,46.32833333333333,osrm_walking,茅營里,下營區
67000080012,23.20993406294161,120.26051486624787,下營區圖書館,23.235261,120.264393,3.6925,49.30333333333333,osrm_walking,西連里,下營區
67000080013,23.250256987380627,120.28815130567016,下營區圖書館,23.235261,120.264393,3.4728000000000003,46.52833333333333,osrm_walking,賀建里,下營區
67000080011,23.20901995872143,120.27624176379018,下營區圖書館,23.235261,120.264393,4.113,54.91,osrm_walking,開化里,下營區
67000370043,22.997543072595423,120.19884758525794,中西區圖書館,22.992069,120.203801,1.0868,14.616666666666667,osrm_walking,五條港里,中西區
67000370025,23.004360802494823,120.18907890727876,市圖總館（公園總館）,23.004016,120.212445,2.8171,37.92833333333333,osrm_walking,光賢里,中西區
67000370044,23.00079834768028,120.19468367934056,中西區圖書館,22.992069,120.203801,1.8536,24.785,osrm_walking,兌悅里,中西區
67000370047,22.98928598220306,120.19387651517194,中西區圖書館,22.992069,120.203801,1.3527,18.105,osrm_walking,南廠里,中西區
67000370040,22.99306076234256,120.20098325380889,中西區圖書館,22.992069,120.203801,0.3973,5.333333333333333,osrm_walking,南美里,中西區
67000370041,22.98559623402839,120.20213743979711,中西區圖書館,22.992069,120.203801,0.911,12.216666666666669,osrm_walking,南門里,中西區
67000370039,22.99304291666709,120.20965549391332,中西區圖書館,22.992069,120.203801,0.7377,9.863333333333332,osrm_walking,城隍里,中西區
67000370031,22.992656881281764,120.18878564157365,中西區圖書館,22.992069,120.203801,1.7269,23.39333333333333,osrm_walking,大涼里,中西區
67000370042,22.98595863548516,120.1988724989732,中西區圖書館,22.992069,120.203801,1.0472,14.031666666666666,osrm_walking,小西門里,中西區
67000370046,22.992190490822097,120.19467575386444,中西區圖書館,22.992069,120.203801,1.1122,15.065,osrm_walking,府前里,中西區
67000370016,22.990854223604355,120.20529200409509,中西區圖書館,22.992069,120.203801,0.3233999999999999,4.308333333333334,osrm_walking,永華里,中西區
67000370009,22.98249958783527,120.20910348715944,中西區圖書館,22.992069,120.203801,1.5636,21.081666666666667,osrm_walking,法華里,中西區
67000370045,22.995194904332735,120.19392983809207,中西區圖書館,22.992069,120.203801,1.1962000000000002,16.08833333333333,osrm_walking,淺草里,中西區
