unit_id,centroid_lat,centroid_lon,nearest_library,library_lat,library_lon,distance_km,time_min,method
grid_R000_C066,22.88548485954364,120.34941586279471,關廟區圖書館,22.960055,120.324203,13.3224,16.345000000000002,osrm_driving
grid_R000_C067,22.885504723658247,120.35428891279176,關廟區圖書館,22.960055,120.324203,14.5391,17.648333333333333,osrm_driving
grid_R001_C062,22.889919031897374,120.32990155091396,關廟區圖書館,22.960055,120.324203,11.6045,14.013333333333332,osrm_driving
grid_R001_C063,22.889939497789054,120.33477474007788,關廟區圖書館,22.960055,120.324203,10.5039,12.665,osrm_driving
grid_R001_C064,22.88995981432607,120.3396479348058,關廟區圖書館,22.960055,120.324203,10.0122,10.318333333333332,osrm_driving
grid_R001_C065,22.88997998150772,120.3445211350569,關廟區圖書館,22.960055,120.324203,9.8221,14.141666666666667,osrm_driving
grid_R001_C066,22.889999999333316,120.34939434079044,關廟區圖書館,22.960055,120.324203,13.6844,17.10666666666667,osrm_driving
grid_R001_C067,22.89001986780218,120.35426755196568,關廟區圖書館,22.960055,120.324203,9.6557,10.958333333333334,osrm_driving
grid_R002_C046,22.894086309219997,120.2519065625897,喜樹圖書館,22.940384,120.17836,12.1063,14.958333333333334,osrm_driving
grid_R002_C047,22.894109169697696,120.25677981839054,仁德區圖書館,22.972232,120.253105,10.6365,17.763333333333332,osrm_driving
grid_R002_C050,22.894176854873635,120.271399622931,仁德區圖書館,22.972232,120.253105,9.4272,7.333333333333333,osrm_driving
grid_R002_C051,22.894199117844018,120.27627290335462,仁德區圖書館,22.972232,120.253105,13.4522,16.971666666666668,osrm_driving
grid_R002_C052,22.894221231435665,120.28114618983204,仁德區圖書館,22.972232,120.253105,15.6015,16.365,osrm_driving
grid_R002_C060,22.894392762445474,120.32013269469834,關廟區圖書館,22.960055,120.324203,12.605,16.165,osrm_driving
grid_R002_C062,22.894434151359228,120.32987937860032,關廟區圖書館,22.960055,120.324203,10.755,13.67,osrm_driving
grid_R002_C063,22.894454621736383,120.33475272897996,關廟區圖書館,22.960055,120.324203,10.4088,12.383333333333333,osrm_driving
grid_R002_C064,22.894474942726127,120.3396260849244,關廟區圖書館,22.960055,120.324203,9.7202,10.486666666666668,osrm_driving
grid_R002_C065,22.89449511432778,120.3444994463928,關廟區圖書館,22.960055,120.324203,9.415,10.668333333333331,osrm_driving
grid_R002_C066,22.89451513654064,120.3493728133445,關廟區圖書館,22.960055,120.324203,9.3607,10.78,osrm_driving
grid_R002_C067,22.894535009364045,120.35424618573867,關廟區圖書館,22.960055,120.324203,9.4227,11.91,osrm_driving
grid_R002_C068,22.894554732797303,120.35911956353462,關廟區圖書館,22.960055,120.324203,17.3685,15.835,osrm_driving
grid_R003_C045,22.898578334979327,120.24700839389912,喜樹圖書館,22.940384,120.17836,11.407,16.0,osrm_driving
grid_R003_C046,22.89860134987413,120.25188180468396,仁德區圖書館,22.972232,120.253105,9.7601,14.638333333333332,osrm_driving
grid_R003_C047,22.89862421536131,120.2567552217273,仁德區圖書館,22.972232,120.253105,10.1604,15.858333333333333,osrm_driving
grid_R003_C048,22.898646931440076,120.2616286449884,仁德區圖書館,22.972232,120.253105,16.4039,21.146666666666665,osrm_driving
grid_R003_C049,22.898669498109673,120.26650207442644,仁德區圖書館,22.972232,120.253105,15.5985,20.834999999999997,osrm_driving
grid_R003_C050,22.898691915369316,120.27137551000072,關廟區圖書館,22.960055,120.324203,11.1716,19.67,osrm_driving
grid_R003_C051,22.89871418321825,120.27624895167044,關廟區圖書館,22.960055,120.324203,11.386,20.886666666666667,osrm_driving
grid_R003_C052,22.898736301655724,120.2811223993949,仁德區圖書館,22.972232,120.253105,15.9316,17.5,osrm_driving
grid_R003_C056,22.898823281276023,120.30061625002452,歸仁區圖書館,22.971948,120.297439,10.1458,13.346666666666666,osrm_driving
grid_R003_C057,22.898844652645018,120.30548972741114,歸仁區圖書館,22.971948,120.297439,10.8595,16.118333333333332,osrm_driving
grid_R003_C058,22.89886587459811,120.31036321060786,關廟區圖書館,22.960055,120.324203,9.002600000000001,16.228333333333335,osrm_driving
grid_R003_C059,22.89888694713459,120.31523669957402,關廟區圖書館,22.960055,120.324203,8.3605,15.158333333333331,osrm_driving
grid_R003_C060,22.898907870253733,120.32011019426876,關廟區圖書館,22.960055,120.324203,8.6342,15.916666666666666,osrm_driving
grid_R003_C061,22.898928643954836,120.32498369465142,關廟區圖書館,22.960055,120.324203,13.1204,19.016666666666666,osrm_driving
grid_R003_C062,22.898949268237192,120.32985720068116,關廟區圖書館,22.960055,120.324203,10.6446,16.361666666666668,osrm_driving
grid_R003_C063,22.89896974310011,120.33473071231724,關廟區圖書館,22.960055,120.324203,10.1315,14.31,osrm_driving
grid_R003_C064,22.898990068542883,120.33960422951894,關廟區圖書館,22.960055,120.324203,9.5404,11.946666666666664,osrm_driving
