unit_id,centroid_lat,centroid_lon,nearest_library,library_lat,library_lon,distance_km,time_min,method,village_name,district
67000150010,23.129612507691892,120.13175915819292,七股區圖書館,23.140338,120.139167,1.7399,3.1266666666666665,osrm_driving,七股里,七股區
67000150022,23.113226891750237,120.0824333534421,七股區圖書館,23.140338,120.139167,8.013,13.473333333333333,osrm_driving,三股里,七股區
67000150017,23.157271031641887,120.11580618447496,七股區圖書館,23.140338,120.139167,4.7174,10.561666666666667,osrm_driving,中寮里,七股區
67000150023,23.082965862867265,120.06489605807862,七股區圖書館,23.140338,120.139167,13.3041,18.69333333333333,osrm_driving,十份里,七股區
67000150007,23.15320630429295,120.08201697010796,七股區圖書館,23.140338,120.139167,7.4032,9.755,osrm_driving,塩埕里,七股區
67000150012,23.14420761204032,120.14614977984884,七股區圖書館,23.140338,120.139167,1.0572,1.97,osrm_driving,大埕里,七股區
67000150002,23.18933376499485,120.13375519799212,將軍區圖書館,23.201284,120.160563,3.9025,6.823333333333333,osrm_driving,大潭里,七股區
67000150001,23.17805259106252,120.13871871452606,將軍區圖書館,23.201284,120.160563,4.747199999999999,8.933333333333334,osrm_driving,後港里,七股區
67000150015,23.118272198074013,120.14757007638129,七股區圖書館,23.140338,120.139167,3.4585,6.04,osrm_driving,樹林里,七股區
67000150021,23.098621561475692,120.1269296418302,七股區圖書館,23.140338,120.139167,5.3422,7.206666666666666,osrm_driving,永吉里,七股區
67000150009,23.12064718710274,120.11905664565728,七股區圖書館,23.140338,120.139167,3.4974000000000003,5.95,osrm_driving,溪南里,七股區
67000150011,23.142249975863443,120.12940563034672,七股區圖書館,23.140338,120.139167,1.321,3.47,osrm_driving,玉成里,七股區
67000150018,23.10060036101675,120.16614059931722,西港區圖書館,23.123446,120.203326,5.1265,8.528333333333332,osrm_driving,竹橋里,七股區
67000150004,23.15841918200624,120.13664189007336,七股區圖書館,23.140338,120.139167,2.9,4.0616666666666665,osrm_driving,篤加里,七股區
67000150019,23.10043677307645,120.14219148109083,七股區圖書館,23.140338,120.139167,5.722600000000001,6.826666666666667,osrm_driving,義合里,七股區
67000150006,23.178277086403813,120.08687150455478,七股區圖書館,23.140338,120.139167,9.5658,11.091666666666669,osrm_driving,西寮里,七股區
67000150005,23.176168342294577,120.11504985982934,七股區圖書館,23.140338,120.139167,8.1045,10.643333333333334,osrm_driving,頂山里,七股區
67000150008,23.13098428502316,120.09559357974702,七股區圖書館,23.140338,120.139167,9.6148,14.98,osrm_driving,龍山里,七股區
67000080001,23.235315398175473,120.26252427294622,下營區圖書館,23.235261,120.264393,0.3335,1.025,osrm_driving,下營里,下營區
67000080002,23.224361939710633,120.25773307663265,下營區圖書館,23.235261,120.264393,1.7655999999999998,3.6633333333333336,osrm_driving,仁里里,下營區
67000080017,23.231270190466603,120.24038166655768,下營區圖書館,23.235261,120.264393,3.6242,6.433333333333334,osrm_driving,大吉里,下營區
67000080003,23.240487998595757,120.2557466928517,下營區圖書館,23.235261,120.264393,1.6823,4.83,osrm_driving,宅內里,下營區
67000080004,23.24471921442985,120.2609710741406,下營區圖書館,23.235261,120.264393,1.5854,4.308333333333334,osrm_driving,後街里,下營區
67000080005,23.234561777002423,120.27420975565892,下營區圖書館,23.235261,120.264393,1.4103,2.8616666666666664,osrm_driving,新興里,下營區
67000080006,23.228757932964147,120.26623720078965,下營區圖書館,23.235261,120.264393,1.4038,3.925,osrm_driving,營前里,下營區
67000080018,23.250526745754716,120.27128469342604,下營區圖書館,23.235261,120.264393,2.1815,4.888333333333334,osrm_driving,紅甲里,下營區
67000080016,23.21791727449621,120.28277418327156,下營區圖書館,23.235261,120.264393,4.5767,6.4816666666666665,osrm_driving,茅營里,下營區
67000080012,23.20993406294161,120.26051486624787,麻豆區圖書館,23.182663,120.248463,4.147600000000001,7.6,osrm_driving,西連里,下營區
67000080013,23.250256987380627,120.28815130567016,下營區圖書館,23.235261,120.264393,3.8412,5.823333333333333,osrm_driving,賀建里,下營區
67000080011,23.20901995872143,120.27624176379018,麻豆區圖書館,23.182663,120.248463,4.786,6.866666666666666,osrm_driving,開化里,下營區
67000370043,22.997543072595423,120.19884758525794,中西區圖書館,22.992069,120.203801,1.1212,2.3733333333333335,osrm_driving,五條港里,中西區
67000370025,23.004360802494823,120.18907890727876,中西區圖書館,22.992069,120.203801,2.9584,5.5216666666666665,osrm_driving,光賢里,中西區
67000370044,23.00079834768028,120.19468367934056,中西區圖書館,22.992069,120.203801,1.9676,3.8766666666666665,osrm_driving,兌悅里,中西區
67000370047,22.98928598220306,120.19387651517194,中西區圖書館,22.992069,120.203801,1.4042,2.643333333333333,osrm_driving,南廠里,中西區
67000370040,22.99306076234256,120.20098325380889,中西區圖書館,22.992069,120.203801,0.3984,0.785,osrm_driving,南美里,中西區
67000370041,22.98559623402839,120.20213743979711,中西區圖書館,22.992069,120.203801,0.8852000000000001,1.6683333333333332,osrm_driving,南門里,中西區
67000370039,22.99304291666709,120.20965549391332,中西區圖書館,22.992069,120.203801,0.9246,2.165,osrm_driving,城隍里,中西區
67000370031,22.992656881281764,120.18878564157365,中西區圖書館,22.992069,120.203801,1.8431,2.9566666666666666,osrm_driving,大涼里,中西區
67000370042,22.98595863548516,120.1988724989732,中西區圖書館,22.992069,120.203801,1.0360999999999998,2.088333333333334,osrm_driving,小西門里,中西區
67000370046,22.992190490822097,120.19467575386444,中西區圖書館,22.992069,120.203801,1.0967,2.12,osrm_driving,府前里,中西區
67000370016,22.990854223604355,120.20529200409509,中西區圖書館,22.992069,120.203801,0.5014,1.163333333333333,osrm_driving,永華里,中西區
67000370009,22.98249958783527,120.20910348715944,林森圖書館,22.986591,120.223125,1.7609,3.31,osrm_driving,法華里,中西區
67000370045,22.995194904332735,120.19392983809207,中西區圖書館,22.992069,120.203801,1.2242,2.52,osrm_driving,淺草里,中西區
67000370022,22.997856152976045,120.19375605017032,中西區圖書館,22.992069,120.203801,1.5067000000000002,2.8766666666666665,osrm_driving,藥王里,中西區
67000370048,23.00050042011324,120.189693219167,中西區圖書館,22.992069,120.203801,2.0353,4.091666666666667,osrm_driving,西和里,中西區
67000370033,23.002446595687537,120.18358477775736,安平區圖書館,22.994821,120.168056,2.6241,5.558333333333334,osrm_driving,西湖里,中西區
67000370034,23.00314149364364,120.17275157673537,安平區圖書館,22.994821,120.168056,1.4385,4.0,osrm_driving,西賢里,中西區
67000370005,22.996362626547494,120.20527501042632,中西區圖書館,22.992069,120.203801,0.8022,1.7333333333333334,osrm_driving,赤嵌里,中西區
67000370007,22.98541539833728,120.20672411838297,中西區圖書館,22.992069,120.203801,1.2289,2.32,osrm_driving,郡王里,中西區
67000370011,22.988200155027933,120.20989945837664,中西區圖書館,22.992069,120.203801,1.2691,2.17,osrm_driving,開山里,中西區
